,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,label,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,pred_type
430,772,Prediction set,detrital zircon,19-12-11-54,detrital zircon (<150Ma),17.9,15.01593677216119,,6.75870967741935,10.7362153224248,0.2085,0.0199335548172757,0.00690789473684211,0.455938461538462,0.405542857142857,58.0577030812325,2.20639417972144,2.29906171002707,0.0
431,773,Prediction set,detrital zircon,19-12-11-56,detrital zircon (<150Ma),46.2,16.485552225237623,,6.96,11.4828550543556,0.277571428571429,0.0200664451827243,0.00690789473684211,0.463815384615385,0.481314285714286,57.4114845938375,1.28656018585872,1.56317548921699,0.0
432,774,Prediction set,detrital zircon,19-12-11-57,detrital zircon (<150Ma),74.8,46.00440298943424,,28.1393548387097,32.7904304077714,0.417428571428571,0.0382724252491694,0.0157894736842105,1.42344615384615,1.18337142857143,53.0395518207283,2.30044332971725,2.60563634027631,0.0
433,775,Prediction set,detrital zircon,19-12-11-60,detrital zircon (<150Ma),68.8,16.768369149428985,,11.6803225806452,12.111068565504,0.102642857142857,0.0301661129568106,0.0124342105263158,0.516123076923077,0.454171428571429,51.6582633053221,0.871152032355452,1.04338316741724,0.0
434,776,Prediction set,detrital zircon,19-12-11-68,detrital zircon (<150Ma),46.7,25.968646355278825,,12.7558064516129,18.7006981309601,0.619714285714286,0.0588039867109635,0.0198026315789474,0.909107692307692,0.533485714285714,46.0635854341737,3.7809734240544,2.23359538187934,0.0
435,777,Prediction set,detrital zircon,19-12-11-69,detrital zircon (<150Ma),19.2,13.62547853723466,,6.41838709677419,9.58190377523126,0.197428571428571,0.0223255813953488,0.00756578947368421,0.374953846153846,0.428971428571429,59.5548459383754,1.96333097650015,2.28574475335134,0.0
436,778,Prediction set,detrital zircon,19-12-11-70,detrital zircon (<150Ma),62.5,15.427027923466612,,9.25806451612903,11.0769673097799,0.0813571428571429,0.0274418604651163,0.01,0.465846153846154,0.426971428571429,49.5180952380952,0.562816477680139,0.788062927669229,0.0
437,779,Prediction set,detrital zircon,19-12-11-71,detrital zircon (<150Ma),72.4,17.882753038197045,,11.7164516129032,12.822155065662,0.1615,0.0301661129568106,0.0103947368421053,0.560492307692308,0.456114285714286,49.0856582633053,0.548860453607953,0.545884182209356,0.0
438,780,Prediction set,detrital zircon,19-12-11-93,detrital zircon (<150Ma),67.0,14.150953219603029,,8.95129032258065,10.2328310082146,0.0731428571428571,0.026312292358804,0.00776315789473684,0.442030769230769,0.373085714285714,46.5024089635854,0.539112971227134,0.709815409735081,0.0
439,781,Prediction set,detrital zircon,19-12-14-10,detrital zircon (<150Ma),49.4,16.399910453477787,,9.70903225806452,11.6198691810603,0.233285714285714,0.0281727574750831,0.00993421052631579,0.502338461538462,0.422971428571429,44.4801680672269,0.737664057414046,0.701529858318037,0.0
